Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Gender motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
Turkmenistan,Storm damage protest,20-May,Not free,Government failure to provide aid after a severe storm hit the city of Turkmenabat.,Frustration over poor service delivery and the government’s failure to address reconstruction needs after the storm.,">1,000",General public.,1 day,No policy/leadership change in response to protests.,,,X,,,Tens of thousands,,,X,X,,Ashgabat
United Kingdom,Coronavirus lockdown protests,20-May,Free,Enactment of lockdown measures to combat the spread of the coronavirus.,"Skepticism about the coronavirus and vaccines, and concerns over the balance between public health restrictions and freedom.",">10,000","General public, especially far-left and far-right activists, anti-vaxxers, and conspiracy theorists.","15 months, intermittently",No policy/leadership change in response to the protests.,,,X,,,Tens of thousands,,,,X,X,London
United States,Police brutality protests,20-May,Free,Excessive use of lethal force by police officers against unarmed Black civilians.,"Ongoing police brutality toward communities of Black people, and broader issues of systemic racism.",">1,000,000",General public.,15 months,Multiple local governments have reduced funding for the police. Some of the officers involved in the deaths of George Floyd and Breonna Taylor have been arrested.,,,X,,,Over 1 million,X,X,X,X,,"Washington, D.C."
Brazil,Coronavirus protests,20-Mar,Free,"President Jair Bolsonaro’s poor and slow response to the coronavirus outbreak; and the death of George Floyd in the United States, sparking protests against local police brutality and racism.","Lack of an effective government response to the spread of the coronavirus, racism in Brazil, and police brutality against Black Brazilians.",">1,000",General public.,4 months,No policy/leadership change in response to the protests.,,,X,,,Thousands,,,X,,,Brasilia
Colombia,Coronavirus protests,20-Mar,Partly free,"President Ivan Duque’s undermining of local and regional authorities, citizens’ claims that they were not receiving sufficient social support, and rising number of deaths from the virus.","Lack of an effective government response to the spread of the coronavirus, insufficient social support for marginalized and economically disadvantaged populations, and lack of protection for healthcare workers.",">1,000",General public.,8 months,No policy/leadership change in response to the protests.,,X,X,,,Thousands,,,,X,X,Bogota
Colombia,Prison protest,20-Mar,Partly free,"Unsanitary conditions in prisons, which could accelerate the spread of the coronavirus among inmates.","Unsanitary conditions in prisons, including overcrowding and lack of access to water.",Unknown,Prisoners.,1 day,"Colombia’s Ministry of Justice ordered the mass release of most nonviolent prisoners, so that they could temporarily serve their time at home.",,,X,,,Thousands,X,,,,,Bogota
Israel,Israel coronavirus protests,20-Mar,Free,"Prime Minister Benjamin Netanyahu’s expansion of authority during the coronavirus outbreak, such as using phone surveillance technology, shutting down the court system, adjourning parliament, and planning to annex parts of the West Bank.","Perceptions of Netanyahu’s actions as antidemocratic, corrupt, or authoritarian.",">10,000",General public.,14 months,No policy/leadership change in response to the protests.,,,X,X,,Tens of thousands,,X,,,X,Jerusalem
Italy,Prison protest,20-Mar,Free,"Overcrowding in prisons during the coronavirus outbreak. Government decision to suspend or limit family visits to more than two dozen prisons for the next two weeks, due to coronavirus concerns.","Prison overcrowding, lack of government support for the prison system, and poor conditions in prisons.",Unknown,Prisoners.,1 day,No policy/leadership change in response to the protests.,,X,X,,,Tens of thousands,,,,,,Rome
Lebanon,Prison protest,20-Mar,Partly free,Overcrowding in prisons during the coronavirus outbreak.,Overcrowding in Lebanese prisons.,Unknown,Prisoners.,1 day,No policy/leadership change in response to the protests.,,X,X,X,,Tens of thousands,,,,,,Beirut
Mexico,Femicide protests,20-Mar,Partly free,"In March 2020, triggered by the murder of a twenty-five-year-old woman and seven-year-old girl. In March 2022, protests were triggered by rising femicide rates and commemorations of International Women's Day. In March 2023, protests were triggered again by commemorations of International Women's Day.","Anger at violence against women, and lack of a government focus on addressing gender-based violence.",">10,000",Women.,3 weeks in March 2020; 1 day in March 2022; 1 day in March 2023,No policy or leadership change in response to the protests.,,,X,,X,Thousands,,,X,,,Mexico City
Slovenia,Anti-Jansa protests,20-Mar,Free,"Allegations of corruption, illiberalism, and declining freedom under the government of Prime Minister Janez Jansa.",Frustration with rising illiberalism and poor governance under Jansa’s government.,">10,000",General public.,"16 months, intermittently",No policy/leadership change in response to protest.,,,X,X,,Tens of thousands,,,,X,X,Ljubljana
Australia,Racial equality protests,20-Jun,Free,"Death of George Floyd in the United States, sparking protests in Australia against local police brutality and racism.","Local issues of racism, institutional racism, and police violence against Aboriginal people.",">10,000",General public.,1 month,No policy/leadership change in response to the protests.,,X,X,,,Thousands,X,,,,,Canberra
Belarus,“Slipper uprising”,20-Jun,Not free,Arrests of opposition presidential candidates; anger over the fraudulence of the August 2020 presidential election.,Opposition to President Alexander Lukashenko’s reelection campaign; frustration over lack of genuine political pluralism.,">100,000",General public.,11 months,No policy/leadership change in response to the protests.,,,X,,,Hundreds of of thousands,,X,X,X,,Minsk
Democratic Republic of the Congo,Judiciary reform protests,20-Jun,Not free,"National Assembly’s proposed changes to the juidiciary that would include proposals to define the powers of judges, and its decision to appoint Ronsard Malonda as chairman of the Independent National Electoral Commission, despite his perceived past role in rigging elections in favor of former president Joseph Kabila.","Growing tensions within the ruling coalition, concern over the political influence of Kabila, and fears that the 2023 presidential election could be subject to manipulation with a new head of the national electoral commission.",">1,000","Supporters of President Felix Tshisekedi and his party, the Union for Democracy and Social Progress (UDPS).",1 month,No policy/leadership change in response to the protests.,,,X,,,Tens of thousands,,,,,,Kinshasa
Ethiopia,Hundessa protests,20-Jun,Not free,Murder of activist and singer Hachalu Hundessa.,"Ongoing wish for more autonomy for sub-national government, disputes over the construction of the Grand Ethiopian Renaissance Dam, ethnic conflicts",">5,000",Members of the Oromo ethnic group,4 months,"Amid surging ethnic violence, PM Abiy Ahmed replaced ten ministers, including the Minister of Defense, on August 18.",,,X,,,Tens of thousands,,,,,,Addis Ababa
France,Black Lives Matter protests,20-Jun,Free,"Deaths of George Floyd in 2020 in the United States and Adama Traore in 2016 in France, both at the hands of the police.","Police brutality in France, France’s colonial legacy, and a lack of government recognition or societal discussion of issues of systemic racism.","20,000",General public.,2 months,No policy/leadership change in response to the protests.,,X,,,,Hundreds of thousands,X,X,,X,,Paris
Germany,Police brutality protests,20-Jun,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in Germany.","Police brutality, systemic racism, and lack of government recognition of systemic racism.",">100,000",General public.,1 month,No policy/leadership change in response to the protests.,,,X,,,Unknown,,,X,,X,Berlin
Japan,Police brutality protests,20-Jun,Free,"The death of George Floyd in the United States, sparking protests against local police brutality and racism in Japan, most recently manifesting in police violence against a Kurdish man.","Police brutality, systemic racism, and lack of government recognition of systemic racism.",">1,000",General public.,2 weeks,No policy/leadership change in response to the protests.,,,X,,,Tens of thousands,,,,,,Tokyo
Kyrgyzstan,Internet freedom protests,20-Jun,Not free,The proposal of a law that would allow authorities to block “fake news” online.,Concerns over state repression of independent online journalism and the media space more generally.,>500,General public.,1 week,President Sooronbay Jeenbekov sent the law back to parliament for further legislative review.,,,X,X,,Tens of thousands,,,,,,Bishkek
Mali,Movement of June 5,20-Jun,Not free,Worsening of the security situation in Mali’s northern and central regions.,"Lack of political reform, economic stagnation, government corruption, and regime’s inability to address the worsening conflict.",">10,000","Muslim religious leaders, representatives of the Fulani herding community, opposition parties, civil society groups.",2 months,"Military coup on August 19 overthrew President Ibrahim Boubacar Keita, fulfilling a key protester demand.",,,X,,,Tens of thousands,X,,,,,Bamako
New Zealand,Racial equality protests,20-Jun,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in New Zealand.",Systemic racism and police violence against indigenous people.,">10,000","University students, business sector, general public.",1 week,The police commissioner announced that the New Zealand Police would do away with its armed response teams.,,X,,,,Tens of thousands,X,,,,,Wellington
Portugal,Police brutality protest,20-Jun,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in Portugal.","Police brutality, systemic racism, and lack of government recognition of systemic racism.",">10,000","Key participants varied by protest, from urban young people to Romanian diaspora, magistrates.",1 day,No policy/leadership change in response to the protests.,,X,,,,Tens of thousands,X,,X,X,,Lisbon
Sudan,“Million-man March”,20-Jun,Not free,"Slow transition from military elite control to civilian control, the repeal of Islamic legal restrictions, and a lack of accountability for anti-protester violence. From October 2021, the major trigger was the military's seizure of power on October 25.","Discontent with the military elite’s continued control and influence, including through undermining the country's democratic transition; the slow pace of reforms; and the repeal of Islamic legal restrictions introduced while former president Omar al-Bashir was in power.",">100,000","General public, professional organizations, resistance committees; Islamic groups and supporters of Bashir.",3 years,"In November 2021, Abdalla Hamdok was re-installed as prime minister, though he resigned after mass protests in January 2022. In December 2022, Sudan's junta leaders and opposition groups including Forces of Freedom and Change signed a framework deal that called for a two-year transition to a civilian-led government. Other opposition groups, especially grassroots resistance committees, rejected the deal and called for further protests. In April 2023, conflict broke out between two rival junta leaders, Abdel-Fattah Burhan and Mohammed Dagalo.",,X,X,,,Hundreds of thousands,X,X,X,X,,Khartoum
Syria,Economic crisis protests,20-Jun,Not free,Imposition of U.S. sanctions that decreased the value of the Syrian pound by two-thirds.,Economic insecurity stemming from the rapid devaluation of the Syrian pound.,>500,General public.,1 month,Prime minister Imad Khamis was fired from his post.,,,,X,,Thousands,,,,,,Damascus
Tunisia,Unemployment protests,20-Jun,Free,"High unemployment, failing infrastructure, the killing of a young man by police, and the underdevelopment of southern Tunisia’s economy and private sector.",Government’s failure to honor its 2017 pledge to invest millions in southern Tunisia’s economy and generate jobs.,">1,000",Turkey’s largest pposition party.,1 month,Prime Minister Elyes Fakhfakh resigned.,,X,,,,Tens of thousands,X,,,X,,Lomé
United Kingdom,Black Lives Matter protests,20-Jun,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in the UK.",Systemic racism in the UK and the country’s imperial legacy.,Tens of thousands,General public.,1 month,The establishment of a government commission to examine racial inequality.,,,X,,,Thousands,X,,,,,London
Azerbaijan,Pro-war protest,20-Jul,Not free,"Brief conflict with Armenia over the contested Nagorno-Karabakh region, which resulted in the deaths of eleven Azerbaijani soldiers, including then major general Polad Hashimov.",Anger over the government’s refusal to escalate the territorial conflict in Nagorno-Karabakh.,">10,000",General public.,1 day,The Azerbaijani military initiated a campaign to take back Nagorno-Karabakh in September 2020.,,,X,,,Thousands,,,,,X,Baku
Bolivia,2020 election protests,20-Jul,Partly free,A second delay to nationwide elections stemming from the COVID-19 pandemic.,Ongoing resentment over the resignation of former President Evo Morales; widespread frustration over an ineffective COVID response; anger over the caretaker Áñez government's extension of its own mandate.,">10,000",Supporters of the former President; trade unions.,3 weeks,"The government set a hard deadline for holding nationwide elections (October 18, 2020).",,X,,,,Thousands,,,,,,La Paz
Bulgaria,Corruption protests,20-Jul,Free,Revelations that state National Security Service agents were reserving access of a public beach for a businessman’s private use; police raids on the office of President Rumen Radev; and fresh allegations of corruption against Prime Minister Boyko Borisov.,Widespread corruption that has weakened state institutions and Bulgaria’s rule of law.,"400,000",General public.,6 months,Four ministers resigned; investigation against the President is blocked; Head of the National Security Service resigned; and the government introduces proposed constitutional reforms.,,,X,X,,Hundreds of thousands,X,X,,X,,Sofia
Greece,Protest law protests,20-Jul,Free,The Kryiakos Mitsotakis government’s enactment of a stringent law on demonstrations.,Protection of the right to free assembly and discontent with the government’s move to stifle dissent.,">10,000",General public.,1 week,No policy or leadership change in response to the protests.,,X,X,,,Hundreds of thousands,,X,,,,Athens
Jordan,Teacher pay protests,20-Jul,Not free,The government’s failure to abide by a pay raise agreement between the education ministry and the Teachers’ Syndicate union.,Insufficient pay for public sector workers amid rising costs of living and anger over the government’s repression of the Teachers’ Syndicate.,">1,000","General public, especially teachers.",1 month,No policy/leadership change in response to protests.,,,X,,,Tens of thousands,,,,,,Amman
Russia,Khabarovsk protests,20-Jul,Not free,Arrest of the popular regional governor Sergei Furgal on murder charges.,"Increasing resentment among the outer regions of Russia toward the Kremlin for intruding in regional affairs, anger among opposition parties that feel they are powerless in the restrictive political system, and concern over political repression.","50,000",General public.,5 months,No policy/leadership change in response to the protests.,,,X,X,,Tens of thousands,,,,X,,Moscow
Serbia,Coronavirus protests,20-Jul,Partly free,Announcement that the government would reimpose a curfew and other restrictions amid a surge in COVID-19 cases—just two weeks after the country’s parliamentary elections that opposition leaders decried as illegitimate.,"Public perceptions that President Aleksandar Vucic’s decision to lift lockdown measures in May was only made to give his party the advantage in the upcoming parliamentary elections (by acting as if he had defeated the outbreak), concerns over the true extent of the outbreak, and exasperation with underlying issues of government corruption and authoritarianism.",">10,000",Opposition parties.,4 weeks,No policy/leadership change in response to the protests.,,,X,,,Hundreds,,,X,,,Belgrade
Sudan,Darfur insecurity protests,20-Jul,Not free,Recurring militia attacks in the Darfur region.,Anger over the state’s failure to keep citizens safe from militia attacks.,">1,000",Residents of Darfur.,1 month,The government dismissed the regional chief of police and his deputy.,,X,,X,,Thousands,X,,,,,Khartoum
Thailand,Antigovernment protests,20-Jul,Not free,"Government failure to boost the economy during the pandemic, kidnapping of a leading political activist, and protesters’ desire to repeal Thailand’s strict royal defamation law.","Lack of employment options for recent graudates, laws that shrink freedoms, and discontent with the military-written constitution.",">10,000","Youth groups, general public.",1.5 years,No policy/leadership change in response to the protests.,,X,X,,,Tens of thousands,,,,X,,Bangkok
Australia,Wildfire protests,20-Jan,Free,Government response to the Australian bushfires.,Climate change and weak government policies on climate.,"30,000","Students, activists.",2 days,"Prime Minister Scott Morrison admitted some regret over government policies, increased funding to respond to the bushfires, and promised that a royal commission would review the government response.",,,X,X,,Tens of thousands,X,,X,,,Canberra
India,24-hour strike,20-Jan,Partly free,Publication of government statistics predicting slowing economic growth.,Opposition to Modi’s economic policies (including privatization).,">10,000","Trade unions, students.",1 day,No policy/leadership change in response to the protests.,,,X,,,Tens of thousands,,,,,,New Delhi
Iran,Downed plane protests,20-Jan,Not free,"Iran's military acknowledged that it had launched missiles that brought down a Ukraine International Airlines jet near Tehran, killing all 176 people on board.",Lack of government transparency and accountability and popular discontent with political leadership.,">1,000",University students.,3 days,No policy/leadership change in response to the protests.,,X,,,,Tens of thousands,X,,,,,Tehran
Germany,Far-right pact protests,20-Feb,Free,"Cooperation between the state branches of far-right party Alternative for Germany (AfD) and the center-right Christian Democratic Union and left-leaning Free Democratic Party (FDP) to oust the state premier of Thuringia, Bodo Ramelow, and replace him with Thomas Kemmerich, a member of the FDP. The pact was a visible violation of mainstream political norms that opposed cooperating with far-right parties.",State-level mainstream parties’ cooperation with far-right parties.,"18,000","Unions, antifascist groups, young people.",1 week,"The manner of Ramelow’s dismissal prompted outrage that led to the resignation of the ruling Christian Democratic Union’s chair, Annegret Kramp-Karrenbauer, Chancellor Angela Merkel’s handpicked successor. Kemmerich eventually stepped down from his position as state premier, after which Ramelow reclaimed the post.",,,X,,,Tens of thousands,,,,,,Berlin
Greece,Pension reform strike,20-Feb,Free,Twenty-four-hour strike in response to proposed pension reform.,"Citizens' fears of pension cuts, which could require them to retire later.","10,000",Public sector trade unions.,1 day,No policy/leadership change in response to the protests.,,,X,,,Thousands,,,,,,Athens
Russia,Constitutional changes protests,20-Feb,Not free,"Constitutional changes that could allow President Vladimir Putin to stay in power past 2024, as well as the five-year anniversary of the death of an opposition leader.","Opposition to constitutional changes, falling popularity of Putin","22,000",General public.,1 month,No policy/leadership change in response to the protests.,,,X,,,Thousands,,,X,X,,Moscow
Albania,Police violence protests,20-Dec,Partly free,The fatal shooting of Klodian Rasha by an officer enforcing a coronavirus curfew.,Concerns about excessive force being used by law enforcement to impose strict coronavirus measures.,>500,"General public, especially youth.",1 week,No policy/leadership change in response to protests.,,,X,,,Hundreds,,,X,,X,Tirana
Haiti,“March for Life” protest,20-Dec,Partly free,Anniversary of International Human Rights Day and enactment of a new law on public security.,Concern over President Jovenel Moïse’s ongoing rule by decree; deepening economic and social insecurity; and concerns over perceived repression of antigovernment movements.,">1,000",Opponents of Moïse’s government.,1 day,No policy or leadership change in response to the protests.,,X,X,,,Thousands,,,,,,Port-au-Prince
Montenegro,Religion law protests,20-Dec,Partly free,Government plans to rewrite a law in order to keep hundreds of Serbian Orthodox monasteries under church ownership rather than transferring them to the state.,Tensions between ethnic and religious groups in Montenegro; concerns over the relationship between the government and the Serbian Orthodox Church; and feelings of Montenegrin nationalism.,">1,000",General public.,1 month,No policy or leadership change in response to the protests.,,,X,,,Thousands,,,,,,Podgorica
Nepal,Parliament dissolution protests,20-Dec,Partly free,Prime Minister Khadga Prasad Sharma Oli’s move to dissolve parliament and call early elections.,Frustration over increasing partisanship; concerns over the constitutionality of the dissolution of parliament; and the breakdown of a power-sharing agreement between the prime minister and members of the ruling Nepal Communist Party.,">10,000",General public.,2 months,No policy or leadership change in response to the protests.,,,X,,,Tens of thousands,,,,,,Kathmandu
Peru,Farm protests,20-Dec,Partly free,An Agrarian Promotion Law that gave exporting companies tax benefits but led to cuts in labor rights and low wages for farm workers.,Anger over the rights of big companies being prioritized over the rights of workers who were receiving salaries as low as 39 soles ($11) per day.,>300,Farm workers.,3 weeks,"Congress repealed the law, but protests resumed when Congress could not reach a consensus on the law’s replacement, specifically on a clause for higher base salaries for workers.",,X,,,,Hundreds,,,X,,,Lima
Argentina,Coronavirus lockdown and judicial reform protests,20-Aug,Free,Announcement of continued lockdown measures and introduction of judicial reform bill.,"Resistance to stringent COVID lockdown measures, economic strain, and fear of impunity for corrupt government officials.",">5,000",General public; supporters of the former Macri govenrment.,2 days,No policy/leadership change in response to the protests.,,,X,X,,Thousands,X,X,,,,Buenos Aires
Ivory Coast,Third-term protests,20-Aug,Partly free,"Announcement that President Alassane Ouattara would seek a third term in office, despite a two-term limit.","Democratic backsliding, entrenchment of Ouattara’s Rally of Houphouëtists for Democracy and Peace (RHDP) party, and manipulation of the constitution for political gain.",">1,000",General public.,3 months,No policy or leadership change in response to the protests.,,,X,,,Thousands,,,X,,,Yamoussoukro
Libya,Standard of living protests,20-Aug,Not free,"Extended cuts to power and water service, gasoline supply disruptions.","Ongoing rampant corruption, the failure of the state to meet even basic needs, and lack of infrastructure.",">1,000",General public,2 months,"Prime Minister Fayez al-Sarraj of the internationally recognized Government of National Accord announced a cabinet reshuffle and called for elections to be held in March 2021. In the east, the non-recognized government affiliated with Khalid Haftar resigned on September 14, 2020.",,X,X,X,,Hundreds of thousands,X,X,,X,,Tripoli
Mauritius,Tanker spill protests,20-Aug,Free,"The spillage of over 1,000 tons of oil from the wreckage of the oil tanker MV Wakashio.","Anger at the government over insufficient information about the incident, and general frustration about the degradation of environmental resources in Mauritius.",">75,000","General public, particularly environmental activists.",2 months,No policy/leadership change in response to the protests.,,X,X,,,Hundreds of thousands,,X,X,X,,Port Louis
Spain,Coronavirus lockdown protest,20-Aug,Free,"Introduction of social restrictions, including smoking bans and the closure of nightclubs, in repsonse to the COVID-19 pandemic.",Opposition to stringent social restrictions and increasingly widespread belief in COVID-related conspiracy theories.,">2,500",Supporters of the far-right Vox party.,1 day,No policy/leadership change in response to the protests.,,,X,,,Thousands,,,X,,,Madrid
Turkey,Gender-based violence protest,20-Aug,Not free,"Reports that President Recep Tayyip Erdogan was considering withdrawing Turkey from the Istanbul Convention, which put forward principles to fight violence against women.",Anger over the government’s failure to address persistent violence against women.,">1,000",Women.,1 day,No policy/leadership change in response to protests.,,,X,,X,Thousands,,,,,,Ankara
Argentina,Violence against women protests,20-Apr,Free,Increasing rates of violence and femicide against women during the government-mandated lockdown.,Violence against women and lack of resources/institutions to combat it.,">1,000",Women.,"1 month in 2020, 1 day in November 2022",The Supreme Court of Mendoza established several protocols for domestic violence victims to file complaints.,,,X,,X,Thousands,X,,,,,Buenos Aires
Canada,Coronavirus restrictions protests,20-Apr,Free,"Enactment of coronavirus restrictions, including mask mandates, vaccine mandates, and lockdowns.","Skepticism of coronavirus, vaccines, and concerns over the balance between public health restrictions and freedom.",">10,000",General public; truckers.,"2 years, intermittently.",No policy/leadership change in response to the protests.,,X,,X,,Thousands,,,X,,X,Ottawa
Germany,Coronavirus restriction protests,20-Apr,Free,Enactment of strict lockdown measures and vaccine mandates.,Economic damage brought on by restrictions and political contestation over the threat posed by the virus.,">30,000","Right- and left-wing extremists, conspiracy theorists, antivaccine groups.","16 months, intermittently",No policy/leadership change in response to the protests.,,X,X,,,Tens of thousands,,,,X,X,Berlin
India,Migrant worker protest,20-Apr,Partly free,Migrant workers’ demand to receive back wages and to be permitted to return home to local villages.,Extension of existing lockdown restrictions to combat coronavirus.,">1,000",Migrant workers.,1 day,No policy/leadership change in response to the protest.,,,X,,,Thousands,,,X,,,New Delhi
Malawi,Vendor protest,20-Apr,Partly free,"Enactment of strict lockdown measures, including restrictions on social interaction and business operations.",Loss of revenue for small vendors dependent on in-person markets.,">1,000",Street vendors.,1 day,No policy/leadership change in response to the protests.,,X,X,,,Thousands,,,,,X,Lilongwe
Russia,Coronavirus restrictions protest,20-Apr,Not free,Economic implications of the shutdown and self-isolation measures established in response to the coronavirus pandemic.,"Concern over the economic effects of the shutdown, particularly in poorer areas that have lower infection rates.","2,000","Opposition leaders, activists.",1 day,No policy/leadership change in response to the protest.,,X,X,,,Thousands,X,,X,X,,Moscow
Somalia,Police violence protests,20-Apr,Not free,The fatal shooting of two civilians by security forces enforcing coronavirus lockdown restrictions.,"Recurring police brutality, especially during the enforcement of coronavirus restrictions.",>500,General public.,1 week,The perpetrator was arrested and charged with murder.,,X,X,X,,Thousands,,,,,,Mogadishu
United States,Coronavirus protests,20-Apr,Free,"Extended business closures due to stay-at-home orders, conspiracy theories about vaccines, as well as restrictions on movement.",Economic impacts of statewide shutdowns and political contestation over the threat posed by the virus.,">10,000","Conservative organizers, grassroots groups.",14 months,"Some states, such as Florida and Texas, have consequently began to partially reopen.",,X,X,,,Tens of thousands,X,,,X,X,"Washington, D.C."
United States,Prison protest,20-Apr,Free,Rising number of coronavirus cases in Arizona immigrant detention facilities.,Risk of the coronavirus spreading within prisons or other detention facilities.,>700,Farmers’ organizations.,1 day,No policy/leadership change in response to the protest.,,,X,,,Tens of thousands,,,,,,"Washington, D.C."
Egypt,Corruption protests,19-Sep,Not free,Revelations that President Abdel Fattah el-Sisi and his inner circle used public funds for personal gain.,Corruption and rising levels of poverty despite economic growth.,">1,000",Young people.,1 week,No policy/leadership change in response to the protests.,,X,,X,,Tens of thousands,X,,X,X,,Cairo
Eswatini,Cost of living protests,19-Sep,Not free,Low pay for teachers and other public servants.,Frustration over a lack of political pluralism; allegations of corruption against the king and his family; and rising costs of living amid a stagnating economy.,">1,000","General public, especially those employed in the public sector.",1 week,No policy/leadership change in response to protests.,,,X,,,Tens of thousands,,,X,,,Mbabane
Indonesia,Criminal code protests,19-Sep,Partly free,"Consideration of a new criminal code that could violate the rights of women, religious minorities, and LGBT groups, and passage of a bill to weaken the country’s anticorruption commission. In 2022, Parliament resumed efforts to codify proposed changes.",Weakening of anticorruption body and growing skepticism of President Joko Widodo’s commitment to reforms.,">10,000",University students.,1 week in 2019; 1 week in 2022,"The vote on a new criminal code was delayed. On December 6, 2022, the Parliament passed the law.",,X,X,X,,Tens of thousands,X,,,,,Jakarta
South Africa,Violence against women protests,19-Sep,Free,Spate of femicides.,Violence against women and lack of institutional protections for women.,"4,000","Trade unions, students, feminist groups, families, representatives from parties on the political right and left.",1 month,"In November 2019, President Cyril Ramphosa launched a “16 days of activism” campaign to raise awareness around the rights of women and girls. In his 2020 State of the Union, Ramphosa announced plans to help curb violence against women.",,,X,,,Thousands,,,X,,,"Pretoria, Cape Town, Bloemfontein"
Turkey,Mayoral appointment protests,19-Sep,Not free,Government move to replace elected Kurdish mayors with state-appointed officials.,Anger over the government’s move to reduce Kurdish autonomy.,">10,000",Kurds.,1 week,No policy/leadership change in response to protests.,,X,X,,,Thousands,,,,X,,Ankara
Bangladesh,Blasphemy protests,19-Oct,Partly free,Circulation of a social media post that allegedly blasphemed the Prophet Muhammad.,"Anger over secularism and blasphemy in Bangladeshi society, as well as simmering tensions between Muslims and Hindus.",">10,000",Muslims.,1 week,No policy/leadership change in response to protests.,,X,,,,Hundreds of thousands,,X,,X,,Dhaka
Bangladesh,Student murder protests,19-Oct,Partly free,"Murder of Abrar Fahad, a student who posted anti-government content on his Facebook feed.","Concern over the increasing levels of political violence, especially from the Chhatra League, the youth wing of the ruling Bangladesh Awami League.",">1,000",Students.,1 month,No policy/leadership change in response to protests.,,,X,X,,Tens of thousands,,,,X,,Dhaka
Bolivia,2019 election protests,19-Oct,Partly free,"Electoral irregularities in the 2019 presidential election, in which then president Evo Morales narrowly avoided a runoff contest in suspicious circumstances. After Morales resigned, his supporters led additional protests, alleging he was the victim of a coup.",Fears over electoral fraud and growing authoritarian tendencies.,">10,000","Opposition parties, labor groups, middle-class citizens, some indigenous groups, and (later) Morales’s supporters.",1 month,Morales resigned and was replaced by an interim government. Elections are scheduled to be held in May 2020.,,X,,,,Tens of thousands,X,,,,,La Paz
Bolivia,Wildfire protests,19-Oct,Partly free,Then president Evo Morales’s refusal to declare the wildfires in Bolivia a national disaster.,Morales’ environmental policies and growing popular discontent with the president.,"1,500,000",General public.,1 week,No policy/leadership change in response to the protests.,,,X,,,Thousands,,,,,X,La Paz
Chile,Subway fare protests,19-Oct,Free,Increased price of metro fares.,"Severe inequality, low wages and pensions, poor service delivery, discontent with government, militarized response to the protests, and demand for constitutional reform.",">1,000,000","Students, young people, professionals, civil society groups.",14 months,"The subway fare hike was reversed, and legislators agreed to a 2020 referendum over whether to write a new constitution. The referendum passed overwhelmingly in October 2020. Lawmakers recently approved a bill that permits citizens to withdraw 10 percent of their pensions to help mitigate the economic impact of the pandemic.",,X,X,X,,Over 1 million,X,X,X,X,,Santiago
Ecuador,Fuel subsidy protests,19-Oct,Partly free,Proposal of an austerity package that would increase fuel costs and cut salaries for public sector jobs.,Economic inequality and indigenous land rights.,">10,000","Indigenous groups, transportation unions, student groups, labor unions.",2 weeks,Government agreed to cancel austerity package.,,X,,,,Tens of thousands,,,,,,Quito
Ethiopia,Oromia protests,19-Oct,Not free,Allegations circulated by opposition leader Jawar Mohammed that Prime Minister Abiy Ahmed had sent security forces to detain him.,Tensions between Ethiopia’s ethnic groups and a perception among the political opposition that the Abiy government was consolidating power and undermining the rule of law.,">1,000","General public, especially supporters of Jawar Mohammed.",1 month,No policy/leadership change in response to protests.,,,X,,,Thousands,,,,,X,Addis Ababa
Georgia,Electoral reform protests,19-Oct,Partly free,Parliament's failure to pass electoral reform that would change the system to proportional representation.,"Democratic backslide, crackdown on political opponents, and discontent with the electoral system that advantages the ruling party.","20,000",General public.,1 week,No policy/leadership change in response to the protests.,,,X,X,,Tens of thousands,X,,,,,Tbilisi
Guinea,Term limit protests,19-Oct,Partly free,Suspicions that President Alpha Condé would seek a third term by amending the constitution.,Rising authoritarianism and repression of dissent and protests.,">100,000","Coalition of politicians, activists.",1 month,No policy/leadership change in response to the protests.,,,X,,,Hundreds of thousands,,X,X,X,,Conakry
Iraq,"Tishreen (""October"") protests",19-Oct,Not free,Demotion of a popular counterterrorism leader who was fighting government corruption; the violent response to anti-government protests in early October 2019; and the killing of activists by militias.,"Inadequate public services, government corruption, unemployment, discontent with the country’s sectarian political system (muhasasa), Iranian influence in Iraq, and government repression of protests.",">10,000","Young people (especially young men), university students.","2.5 years, intermittently.","Adel Abdul-Mahdi resigned as prime minister but remained as a caretaker until February 2020, when Mohammed Allawi was appointed prime minister. Allawi failed to assemble a government, however, and consequently never took office. He was replaced by Adnan al-Zurfi. In May 2020, al-Zurfi resigned and Mustafa al-Kadhimi became the prime minister. Al-Kadhimi's government held parlimentary elections in October 2021, meeting a key protester demand.",,X,X,X,,Tens of thousands,X,,X,X,,Baghdad
